transcription,label,lang_label,lang_name,lang_fam
bɔnɑɑdmi,0,0,hindi,1
sukʃm,0,0,hindi,1
ʃʊdɾə,0,0,hindi,1
pətəlɑ,0,0,hindi,1
simɪt,0,0,hindi,1
sɑkəɾɑ,0,0,hindi,1
ʋɪɾəl,0,0,hindi,1
səɡʱən,0,0,hindi,1
mɪnəʈ,0,0,hindi,1
toɽɑ,0,0,hindi,1
t͡ʃoʈɑ,0,0,hindi,1
əlp,0,0,hindi,1
ləmbɑ,1,0,hindi,1
pɾət͡ʃuɾ,1,0,hindi,1
bʱɑɾi,1,0,hindi,1
ʋɪʃɑl,1,0,hindi,1
ɡʱənɑ,1,0,hindi,1
məhɑn,1,0,hindi,1
bəhutbəɽɑ,1,0,hindi,1
ʋjɑpək,1,0,hindi,1
ətjɑdʱɪk,1,0,hindi,1
bəɽɑ,1,0,hindi,1
ʋɪʃɑl,1,0,hindi,1
məhɑn,1,0,hindi,1
kuɾaɪnta,0,1,tamil,2
nuɳːija,0,1,tamil,2
melːija,0,1,tamil,2
kont͡ʃam,0,1,tamil,2
t͡ʃiɾija,0,1,tamil,2
t͡ʃinːa,0,1,tamil,2
puɭːi,0,1,tamil,2
nuɳ,0,1,tamil,2
kuɾukija,0,1,tamil,2
noj,0,1,tamil,2
aɳu,0,1,tamil,2
kuɾu,0,1,tamil,2
atikamaːna,1,1,tamil,2
tiɾaɭaːna,1,1,tamil,2
piɾamːaːɳʈamaːna,1,1,tamil,2
paːɾija,1,1,tamil,2
kanatːa,1,1,tamil,2
ʋit͡ʃaːlamaːna,1,1,tamil,2
paɾanta,1,1,tamil,2
ujaɾnta,1,1,tamil,2
ʋiɾiʋaːna,1,1,tamil,2
elːaɪjaɾɾa,1,1,tamil,2
peɾija,1,1,tamil,2
makatːaːna,1,1,tamil,2
ɔbmɛʒenei,0,2,russian,1
tonkʲɪj,0,2,russian,1
nʲɪbɐlʲʂoj,0,2,russian,1
